timestamp,event,object,confidence
2026-09-01 20:35:37,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:38,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:39,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:40,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:41,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:42,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:43,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:44,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:45,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:46,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:47,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:48,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:49,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:50,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:51,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:52,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:53,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:54,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:55,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:56,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:57,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:58,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:35:59,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:00,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:01,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:02,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:03,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:04,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:05,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:06,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:07,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:08,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:09,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:10,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:11,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:12,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:13,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:14,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:15,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:16,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:17,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:18,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:19,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:20,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:21,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:22,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:23,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:24,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:25,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:26,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:27,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:28,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:29,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:30,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:31,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:32,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:33,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:34,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:35,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:36,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:37,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:38,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:39,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:40,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:41,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:42,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:43,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:44,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:45,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:46,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:47,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:48,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:49,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:50,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:51,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:52,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:53,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:54,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:55,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:56,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:57,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:58,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:36:59,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:00,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:01,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:02,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:03,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:04,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:05,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:06,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:07,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:08,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:09,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:10,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:11,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:12,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:13,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:14,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:15,Restricted Zone Intrusion,Person,1.00
2026-09-01 20:37:16,Restricted Zone Intrusion,Person,1.00
